pedido_id,cliente_id,fecha_pedido,estado
1,248,"2022-07-11 00:06:00",completado
2,48,"2021-07-02 13:12:00",completado
3,139,"2022-03-08 00:32:00",completado
4,447,"2023-11-20 03:45:00",completado
5,340,"2022-08-31 13:30:00",completado
6,249,"2023-12-06 08:51:00",completado
7,384,"2023-07-04 00:46:00",completado
8,88,"2023-04-27 18:52:00",completado
9,340,"2023-05-24 23:05:00",completado
10,98,"2023-03-12 12:37:00",completado
11,72,"2022-02-04 23:58:00",completado
12,172,"2021-11-03 07:19:00",completado
13,391,"2023-05-12 02:05:00",completado
14,40,"2023-09-19 04:22:00",reembolsado
15,450,"2022-06-17 10:06:00",completado
16,477,"2023-01-25 08:46:00",completado
17,471,"2023-04-18 22:01:00",completado
18,460,"2023-10-21 18:48:00",completado
19,133,"2023-03-16 03:09:00",completado
20,168,"2021-09-14 00:33:00",completado
21,200,"2023-11-25 13:54:00",completado
22,241,"2023-11-24 08:49:00",completado
23,202,"2021-09-10 17:09:00",completado
24,470,"2022-08-01 01:07:00",completado
25,303,"2023-12-11 22:49:00",completado
26,456,"2023-06-23 09:26:00",reembolsado
27,340,"2022-09-02 14:35:00",reembolsado
28,195,"2023-07-05 04:53:00",completado
29,418,"2023-07-21 23:58:00",completado
30,332,"2021-11-14 05:28:00",completado
31,46,"2023-04-06 02:04:00",reembolsado
32,469,"2023-08-03 20:59:00",completado
33,157,"2022-04-13 09:13:00",completado
34,27,"2023-09-17 20:28:00",completado
35,455,"2023-02-13 23:17:00",completado
36,209,"2023-03-26 21:15:00",completado
37,375,"2023-04-24 13:42:00",completado
38,176,"2023-07-31 14:02:00",completado
39,240,"2023-09-09 09:39:00",completado
40,191,"2022-08-19 09:44:00",reembolsado
41,257,"2022-10-24 04:19:00",cancelado
42,491,"2023-06-03 21:01:00",completado
43,395,"2023-03-06 15:58:00",reembolsado
44,156,"2022-09-23 21:49:00",completado
45,102,"2023-12-17 04:03:00",completado
46,252,"2023-04-30 16:45:00",completado
47,148,"2023-02-27 12:08:00",completado
48,336,"2023-12-19 21:34:00",completado
49,129,"2023-05-06 14:09:00",cancelado
50,172,"2022-12-05 15:40:00",completado
51,273,"2023-02-12 08:15:00",reembolsado
52,330,"2022-05-16 18:47:00",completado
53,455,"2022-02-14 09:51:00",completado
54,246,"2023-01-11 16:25:00",completado
55,46,"2023-05-10 10:32:00",completado
56,254,"2023-11-26 04:10:00",completado
57,119,"2023-12-26 06:18:00",completado
58,492,"2022-04-28 11:34:00",completado
59,480,"2022-10-10 22:40:00",completado
60,136,"2022-11-02 04:43:00",completado
61,389,"2023-10-26 04:12:00",completado
62,189,"2023-02-07 18:41:00",completado
63,315,"2023-12-14 23:55:00",completado
64,18,"2022-10-13 05:44:00",reembolsado
65,300,"2023-11-03 01:00:00",completado
66,53,"2023-06-29 00:07:00",completado
67,338,"2022-11-06 03:37:00",completado
68,348,"2023-05-18 20:54:00",completado
69,91,"2022-08-30 05:06:00",completado
70,10,"2023-08-24 17:01:00",completado
71,57,"2023-06-24 14:13:00",completado
72,213,"2023-02-20 05:00:00",completado
73,61,"2023-07-27 20:48:00",completado
74,341,"2021-06-25 23:54:00",completado
75,139,"2022-03-17 01:47:00",completado
76,311,"2022-05-12 08:05:00",completado
77,330,"2023-11-01 16:40:00",completado
78,321,"2023-08-18 02:04:00",completado
79,445,"2023-03-16 11:28:00",completado
80,104,"2022-05-06 11:46:00",completado
81,41,"2022-06-30 22:17:00",completado
82,226,"2021-11-21 22:55:00",completado
83,398,"2023-10-20 03:57:00",completado
84,45,"2022-12-17 23:53:00",completado
85,351,"2022-06-06 02:08:00",completado
86,467,"2022-12-16 07:52:00",completado
87,68,"2021-06-28 22:32:00",completado
88,170,"2023-01-02 02:39:00",completado
89,472,"2023-10-24 01:57:00",completado
90,333,"2023-12-27 23:51:00",completado
91,126,"2022-05-14 08:03:00",completado
92,389,"2022-12-11 20:57:00",completado
93,451,"2023-04-11 20:12:00",completado
94,69,"2023-08-03 13:28:00",completado
95,345,"2022-10-25 22:50:00",completado
96,387,"2022-11-17 05:41:00",completado
97,37,"2023-10-21 10:24:00",completado
98,223,"2023-07-19 15:48:00",completado
99,31,"2022-08-07 08:32:00",completado
100,57,"2023-05-22 05:36:00",completado
101,208,"2023-08-17 19:40:00",completado
102,133,"2023-07-11 18:23:00",completado
103,82,"2022-06-21 17:52:00",completado
104,476,"2023-10-13 07:05:00",completado
105,35,"2023-11-13 08:01:00",completado
106,219,"2023-11-29 07:42:00",completado
107,213,"2021-03-24 20:16:00",completado
108,13,"2023-06-11 23:18:00",completado
109,468,"2023-09-24 12:05:00",completado
110,248,"2023-06-06 03:36:00",completado
111,182,"2022-10-02 15:44:00",completado
112,145,"2023-08-08 20:03:00",completado
113,469,"2022-08-02 13:31:00",completado
114,255,"2022-11-21 00:29:00",completado
115,484,"2023-05-30 14:55:00",completado
116,265,"2023-08-18 02:26:00",completado
117,251,"2022-05-07 06:56:00",completado
118,178,"2022-07-04 17:36:00",completado
119,253,"2023-06-02 19:09:00",completado
120,217,"2022-11-22 13:45:00",cancelado
121,460,"2023-11-30 14:27:00",completado
122,302,"2023-09-15 04:11:00",completado
123,334,"2022-09-14 01:04:00",completado
124,226,"2023-02-14 02:26:00",completado
125,241,"2023-09-25 23:11:00",completado
126,166,"2023-02-08 14:28:00",completado
127,289,"2023-11-24 01:26:00",completado
128,323,"2023-10-02 14:54:00",completado
129,215,"2021-09-05 11:56:00",completado
130,114,"2022-12-23 22:06:00",completado
131,235,"2023-04-29 17:30:00",completado
132,371,"2023-04-14 21:25:00",completado
133,102,"2023-02-05 15:05:00",completado
134,27,"2023-10-04 04:55:00",completado
135,460,"2023-07-29 01:14:00",cancelado
136,257,"2023-11-15 05:14:00",completado
137,294,"2023-10-21 08:22:00",completado
138,48,"2021-06-20 11:59:00",completado
139,311,"2023-12-13 00:11:00",completado
140,227,"2021-11-17 10:39:00",cancelado
141,406,"2022-05-17 06:18:00",completado
142,22,"2021-07-25 06:07:00",completado
143,127,"2023-08-06 10:40:00",cancelado
144,82,"2022-01-20 16:19:00",completado
145,401,"2023-04-19 01:45:00",completado
146,28,"2022-10-12 14:34:00",completado
147,108,"2022-12-23 18:05:00",completado
148,447,"2022-06-14 13:28:00",completado
149,307,"2023-12-21 01:25:00",completado
150,482,"2023-06-08 15:03:00",completado
151,7,"2023-09-04 21:02:00",completado
152,274,"2023-11-08 23:10:00",reembolsado
153,90,"2023-11-29 06:27:00",reembolsado
154,60,"2023-12-05 01:44:00",completado
155,344,"2021-04-20 07:20:00",completado
156,488,"2023-05-06 10:10:00",completado
157,357,"2023-07-28 22:04:00",completado
158,124,"2022-04-24 19:45:00",completado
159,437,"2023-10-01 10:48:00",completado
160,419,"2023-11-12 07:18:00",reembolsado
161,94,"2021-12-02 18:44:00",completado
162,208,"2023-11-19 11:32:00",completado
163,310,"2023-03-13 18:33:00",completado
164,253,"2023-06-09 21:23:00",completado
165,358,"2023-03-21 07:31:00",completado
166,260,"2023-02-09 15:14:00",completado
167,489,"2022-09-04 14:09:00",completado
168,141,"2022-03-01 13:53:00",completado
169,284,"2023-03-31 19:07:00",completado
170,48,"2022-09-11 12:59:00",completado
171,82,"2022-11-12 16:10:00",completado
172,80,"2022-09-26 00:16:00",completado
173,250,"2023-03-01 20:54:00",completado
174,477,"2022-09-28 16:59:00",completado
175,48,"2022-04-07 19:49:00",reembolsado
176,308,"2022-04-20 07:11:00",completado
177,317,"2022-08-11 00:29:00",completado
178,239,"2023-03-17 19:58:00",completado
179,181,"2022-10-28 00:03:00",completado
180,282,"2022-01-25 18:36:00",completado
181,41,"2022-03-22 09:00:00",completado
182,465,"2022-07-01 22:12:00",completado
183,22,"2022-04-24 16:20:00",completado
184,34,"2023-03-13 20:05:00",reembolsado
185,18,"2022-03-16 23:11:00",cancelado
186,480,"2022-07-31 10:26:00",completado
187,315,"2022-12-12 17:39:00",completado
188,485,"2022-03-05 12:20:00",completado
189,418,"2023-10-14 19:03:00",completado
190,401,"2023-02-06 07:34:00",completado
191,165,"2023-04-03 05:57:00",completado
192,37,"2022-04-18 18:37:00",completado
193,348,"2023-02-26 11:13:00",completado
194,436,"2023-02-24 22:11:00",completado
195,139,"2023-11-07 19:22:00",completado
196,338,"2023-06-01 12:06:00",completado
197,319,"2022-06-14 02:22:00",completado
198,209,"2022-09-06 20:15:00",completado
199,1,"2022-05-01 17:33:00",completado
200,442,"2022-12-25 03:02:00",completado
201,72,"2023-05-30 10:57:00",completado
202,274,"2022-11-14 12:13:00",completado
203,27,"2023-12-03 07:56:00",completado
204,102,"2023-04-08 12:00:00",completado
205,358,"2022-03-12 07:38:00",completado
206,421,"2023-11-02 01:37:00",completado
207,454,"2023-11-11 04:36:00",completado
208,376,"2022-03-17 20:07:00",completado
209,177,"2022-03-24 05:53:00",completado
210,136,"2022-04-28 20:51:00",completado
211,117,"2023-10-13 20:35:00",completado
212,416,"2022-07-15 12:28:00",completado
213,90,"2022-04-18 17:50:00",completado
214,199,"2023-10-28 05:32:00",completado
215,462,"2023-06-03 23:43:00",completado
216,100,"2022-01-28 16:17:00",completado
217,179,"2023-08-14 02:04:00",cancelado
218,441,"2021-11-27 00:40:00",completado
219,281,"2023-07-05 04:20:00",completado
220,240,"2023-04-24 22:19:00",completado
221,20,"2023-11-02 20:50:00",completado
222,30,"2023-12-04 16:33:00",completado
223,405,"2023-09-08 06:08:00",completado
224,393,"2023-07-30 22:03:00",completado
225,132,"2023-08-10 05:47:00",completado
226,290,"2023-09-19 02:09:00",completado
227,198,"2022-11-30 04:27:00",completado
228,212,"2023-10-21 11:12:00",completado
229,231,"2021-10-22 10:45:00",completado
230,157,"2021-12-17 17:14:00",completado
231,282,"2023-10-29 21:46:00",completado
232,114,"2022-03-19 03:15:00",completado
233,326,"2023-06-19 08:50:00",completado
234,179,"2022-12-30 18:11:00",completado
235,368,"2023-12-03 07:48:00",completado
236,443,"2023-08-18 23:38:00",completado
237,28,"2023-03-05 23:38:00",completado
238,153,"2023-08-20 18:10:00",completado
239,416,"2022-04-19 01:20:00",completado
240,460,"2023-11-24 11:52:00",completado
241,43,"2022-07-23 23:37:00",completado
242,399,"2023-09-12 03:34:00",completado
243,418,"2023-11-06 07:14:00",completado
244,83,"2023-01-15 18:27:00",cancelado
245,217,"2022-10-10 06:19:00",completado
246,426,"2023-08-07 13:22:00",completado
247,18,"2022-01-08 13:25:00",completado
248,219,"2023-10-05 14:44:00",completado
249,155,"2022-10-17 22:31:00",completado
250,200,"2022-04-29 12:14:00",completado
251,252,"2023-11-16 18:22:00",completado
252,61,"2022-03-13 09:56:00",completado
253,489,"2023-05-16 10:08:00",completado
254,498,"2023-08-19 04:41:00",completado
255,91,"2023-04-08 16:30:00",completado
256,383,"2022-08-24 22:16:00",completado
257,123,"2022-12-27 08:07:00",completado
258,75,"2023-11-01 03:38:00",completado
259,220,"2023-08-09 17:12:00",completado
260,201,"2023-08-28 00:39:00",completado
261,271,"2023-09-25 10:42:00",completado
262,56,"2023-04-19 06:13:00",completado
263,55,"2023-08-08 11:20:00",completado
264,397,"2021-01-27 16:22:00",completado
265,207,"2022-03-10 18:53:00",completado
266,348,"2023-05-28 21:05:00",completado
267,373,"2023-09-03 09:22:00",completado
268,482,"2023-08-03 00:49:00",completado
269,370,"2023-12-26 16:26:00",completado
270,24,"2023-07-31 18:07:00",completado
271,381,"2023-03-27 06:20:00",completado
272,355,"2023-11-18 23:29:00",reembolsado
273,140,"2022-09-18 14:48:00",completado
274,120,"2023-07-15 08:52:00",completado
275,225,"2022-12-20 08:48:00",completado
276,100,"2022-06-22 16:35:00",completado
277,174,"2023-02-26 11:15:00",completado
278,166,"2022-11-01 21:16:00",completado
279,367,"2023-09-23 17:56:00",completado
280,373,"2023-12-14 10:25:00",completado
281,120,"2022-11-02 09:57:00",completado
282,223,"2022-08-14 12:27:00",completado
283,310,"2023-06-13 03:34:00",completado
284,419,"2023-10-07 10:24:00",completado
285,132,"2023-01-02 18:15:00",completado
286,149,"2023-03-01 16:01:00",completado
287,117,"2021-09-21 16:09:00",completado
288,243,"2022-08-04 18:26:00",completado
289,12,"2023-03-24 03:01:00",completado
290,281,"2023-12-02 15:41:00",completado
291,464,"2023-06-12 08:54:00",completado
292,61,"2022-06-08 19:48:00",completado
293,396,"2022-12-13 23:36:00",reembolsado
294,276,"2023-05-18 04:34:00",completado
295,25,"2023-02-18 01:08:00",completado
296,151,"2023-04-19 18:37:00",completado
297,171,"2023-07-02 06:59:00",completado
298,359,"2022-04-10 16:23:00",completado
299,276,"2022-02-18 19:11:00",completado
300,140,"2022-08-25 09:48:00",reembolsado
301,114,"2023-11-25 02:35:00",completado
302,231,"2023-09-26 02:53:00",completado
303,405,"2023-08-31 04:46:00",completado
304,141,"2023-11-10 21:36:00",completado
305,183,"2023-07-16 20:54:00",completado
306,262,"2023-10-14 23:06:00",reembolsado
307,2,"2023-07-29 03:52:00",completado
308,300,"2023-07-09 17:40:00",completado
309,77,"2023-03-27 02:57:00",completado
310,347,"2023-04-13 13:23:00",completado
311,351,"2022-09-25 15:33:00",completado
312,434,"2022-12-21 15:27:00",completado
313,21,"2023-01-12 21:38:00",completado
314,490,"2023-05-05 06:15:00",completado
315,236,"2022-09-04 12:07:00",completado
316,18,"2023-04-30 10:01:00",reembolsado
317,208,"2022-02-26 03:24:00",completado
318,313,"2023-02-22 06:27:00",completado
319,91,"2023-04-28 19:06:00",cancelado
320,416,"2022-05-21 05:07:00",completado
321,385,"2023-08-31 01:42:00",completado
322,90,"2022-04-25 18:02:00",completado
323,17,"2023-08-15 19:42:00",completado
324,68,"2022-03-17 06:22:00",completado
325,292,"2023-10-06 10:13:00",completado
326,66,"2023-07-18 08:02:00",completado
327,146,"2023-01-05 21:25:00",completado
328,416,"2023-07-07 12:12:00",completado
329,91,"2023-07-29 10:47:00",completado
330,179,"2023-08-21 03:14:00",completado
331,83,"2022-10-23 02:32:00",completado
332,400,"2021-12-08 18:41:00",completado
333,484,"2022-05-17 23:19:00",completado
334,220,"2023-04-08 21:36:00",completado
335,373,"2023-06-04 13:24:00",completado
336,121,"2023-07-22 20:11:00",completado
337,452,"2023-03-23 10:57:00",completado
338,176,"2023-12-27 21:26:00",completado
339,149,"2023-10-21 02:02:00",completado
340,408,"2023-01-24 05:29:00",completado
341,135,"2023-06-24 04:25:00",completado
342,467,"2023-08-17 19:53:00",cancelado
343,129,"2023-02-22 11:16:00",completado
344,362,"2023-01-20 11:49:00",completado
345,282,"2023-03-17 10:22:00",completado
346,491,"2023-08-24 12:07:00",cancelado
347,6,"2023-04-05 02:47:00",completado
348,149,"2023-10-01 19:46:00",reembolsado
349,377,"2023-02-01 14:51:00",completado
350,361,"2021-10-01 07:12:00",completado
351,327,"2022-05-16 12:39:00",completado
352,436,"2022-06-20 23:35:00",cancelado
353,458,"2023-04-28 23:55:00",completado
354,470,"2021-10-29 09:47:00",completado
355,374,"2023-05-29 20:05:00",completado
356,325,"2023-02-09 03:55:00",completado
357,370,"2023-09-26 14:18:00",completado
358,15,"2023-11-27 01:48:00",reembolsado
359,229,"2022-05-28 04:32:00",completado
360,393,"2023-05-28 15:45:00",completado
361,108,"2023-02-14 07:19:00",completado
362,383,"2021-11-27 09:37:00",completado
363,152,"2023-01-06 07:23:00",cancelado
364,487,"2021-09-26 15:48:00",completado
365,320,"2023-04-09 23:46:00",completado
366,72,"2022-06-13 15:54:00",completado
367,140,"2023-01-19 19:06:00",completado
368,87,"2023-05-27 18:58:00",completado
369,374,"2023-04-16 07:32:00",completado
370,277,"2021-05-26 10:13:00",completado
371,84,"2023-02-19 00:50:00",reembolsado
372,402,"2023-12-20 11:30:00",completado
373,191,"2023-04-26 15:32:00",completado
374,476,"2023-08-12 16:15:00",completado
375,250,"2023-11-03 00:19:00",completado
376,434,"2023-10-10 13:23:00",completado
377,142,"2023-04-03 17:35:00",completado
378,172,"2022-08-17 00:48:00",cancelado
379,292,"2023-10-08 11:23:00",completado
380,179,"2023-06-03 16:12:00",reembolsado
381,280,"2022-10-31 20:00:00",completado
382,62,"2023-05-13 12:20:00",completado
383,173,"2023-12-02 16:33:00",completado
384,133,"2023-10-22 05:44:00",cancelado
385,470,"2022-03-23 06:38:00",completado
