devolucion_id,linea_pedido_id,fecha_devolucion,motivo
1,18,2023-07-18,ya_no_lo_necesita
2,100,2023-09-23,ya_no_lo_necesita
3,108,2023-06-15,ya_no_lo_necesita
4,159,2023-07-13,ya_no_lo_necesita
5,173,2023-09-02,defectuoso
6,179,2023-03-03,no_es_como_se_describe
7,191,2022-05-14,no_es_como_se_describe
8,198,2023-09-01,no_es_como_se_describe
9,206,2022-07-09,ya_no_lo_necesita
10,230,2022-12-13,no_es_como_se_describe
11,239,2022-11-20,no_es_como_se_describe
12,244,2022-08-14,defectuoso
13,277,2022-08-06,defectuoso
14,313,2023-02-20,defectuoso
15,337,2023-11-04,ya_no_lo_necesita
16,344,2023-12-22,defectuoso
17,385,2021-05-03,articulo_incorrecto
18,405,2023-11-21,no_es_como_se_describe
19,407,2023-03-18,no_es_como_se_describe
20,442,2022-04-12,no_es_como_se_describe
21,446,2022-04-23,ya_no_lo_necesita
22,450,2022-08-17,ya_no_lo_necesita
23,481,2023-10-23,ya_no_lo_necesita
24,516,2022-03-20,no_es_como_se_describe
25,538,2022-04-28,articulo_incorrecto
26,568,2023-08-07,ya_no_lo_necesita
27,598,2023-03-18,articulo_incorrecto
28,663,2023-04-27,no_es_como_se_describe
29,687,2023-08-14,ya_no_lo_necesita
30,709,2023-09-30,articulo_incorrecto
31,733,2023-04-03,articulo_incorrecto
32,743,2022-12-20,articulo_incorrecto
33,744,2023-05-23,no_es_como_se_describe
34,757,2022-02-26,no_es_como_se_describe
35,784,2023-04-02,ya_no_lo_necesita
36,820,2022-05-07,ya_no_lo_necesita
37,823,2022-05-01,ya_no_lo_necesita
38,835,2023-01-10,no_es_como_se_describe
39,853,2023-08-01,articulo_incorrecto
40,875,2023-03-29,defectuoso
41,894,2023-04-30,articulo_incorrecto
42,903,2023-10-03,defectuoso
43,928,2023-06-08,ya_no_lo_necesita
44,932,2023-04-27,no_es_como_se_describe
45,983,2022-10-19,defectuoso
46,996,2022-01-18,ya_no_lo_necesita
47,1022,2022-05-11,defectuoso
48,1059,2023-07-07,articulo_incorrecto
49,1087,2023-11-13,articulo_incorrecto
50,1119,2023-09-22,no_es_como_se_describe
51,1137,2022-06-22,defectuoso
52,1160,2023-10-08,articulo_incorrecto
53,1182,2023-07-20,articulo_incorrecto
54,1194,2021-09-16,no_es_como_se_describe
55,1210,2023-04-23,no_es_como_se_describe
56,1244,2023-11-17,articulo_incorrecto
57,1265,2023-10-21,defectuoso
58,1283,2023-05-03,no_es_como_se_describe
59,1303,2023-06-09,articulo_incorrecto
