linea_pedido_id,pedido_id,producto_id,cantidad,precio_unitario
1,1,10,1,149.99
2,1,47,3,14.99
3,2,66,3,34.99
4,2,23,1,22.99
5,3,21,3,84.99
6,4,59,2,9.99
7,4,39,2,39.99
8,4,66,1,34.99
9,4,66,1,34.99
10,5,63,2,17.99
11,5,10,3,149.99
12,6,52,2,24.99
13,6,55,3,16.99
14,6,21,1,84.99
15,6,30,2,44.99
16,7,11,1,34.99
17,7,7,1,27.99
18,7,23,1,22.99
19,7,28,1,89.99
20,8,47,1,14.99
21,9,49,1,44.99
22,9,43,2,44.99
23,10,59,2,9.99
24,11,14,1,99.99
25,11,43,2,44.99
26,11,65,2,9.99
27,12,25,3,16.99
28,12,25,3,16.99
29,13,41,2,17.99
30,13,2,1,39.99
31,13,7,2,27.99
32,13,44,1,34.99
33,14,67,2,12.99
34,14,17,1,36.99
35,15,28,1,89.99
36,15,18,2,26.99
37,15,12,2,22.99
38,15,55,3,16.99
39,16,9,3,299.99
40,16,20,2,21.99
41,16,19,2,69.99
42,16,31,3,9.99
43,17,18,1,26.99
44,17,62,2,9.99
45,18,56,3,15.99
46,18,55,2,16.99
47,18,53,2,22.99
48,19,17,2,36.99
49,19,63,3,17.99
50,19,67,1,12.99
51,19,9,2,299.99
52,20,49,1,44.99
53,20,27,2,17.99
54,20,3,1,49.99
55,20,19,2,69.99
56,21,46,2,27.99
57,21,64,2,21.99
58,21,43,2,44.99
59,21,24,3,149.99
60,22,26,3,159.99
61,22,11,1,34.99
62,22,34,3,19.99
63,23,25,2,16.99
64,24,26,2,159.99
65,25,23,1,22.99
66,25,30,3,44.99
67,25,7,3,27.99
68,26,12,2,22.99
69,27,12,1,22.99
70,27,28,2,89.99
71,27,17,3,36.99
72,27,56,3,15.99
73,28,24,3,149.99
74,28,49,3,44.99
75,28,24,2,149.99
76,29,69,2,14.99
77,29,61,1,139.99
78,29,47,2,14.99
79,30,68,1,54.99
80,30,26,1,159.99
81,30,23,2,22.99
82,31,17,3,36.99
83,32,14,2,99.99
84,32,21,3,84.99
85,33,18,3,26.99
86,34,56,2,15.99
87,34,63,1,17.99
88,34,4,3,24.99
89,35,57,2,39.99
90,36,16,2,24.99
91,37,31,2,9.99
92,37,46,1,27.99
93,37,32,1,14.99
94,37,51,2,32.99
95,38,25,1,16.99
96,38,14,1,99.99
97,38,41,1,17.99
98,39,11,1,34.99
99,39,12,3,22.99
100,39,57,2,39.99
101,39,1,2,129.99
102,40,27,1,17.99
103,40,48,3,17.99
104,40,44,2,34.99
105,40,63,2,17.99
106,41,52,1,24.99
107,42,65,2,9.99
108,42,38,3,18.99
109,43,60,3,179.99
110,44,57,2,39.99
111,45,55,3,16.99
112,45,42,2,24.99
113,45,23,3,22.99
114,46,35,3,12.99
115,46,5,1,89.99
116,47,23,3,22.99
117,47,7,1,27.99
118,48,6,2,79.99
119,48,3,3,49.99
120,49,65,3,9.99
121,49,35,3,12.99
122,49,7,3,27.99
123,50,48,1,17.99
124,50,13,1,139.99
125,50,16,2,24.99
126,51,2,1,39.99
127,51,13,1,139.99
128,51,27,2,17.99
129,52,17,3,36.99
130,53,17,1,36.99
131,53,34,3,19.99
132,53,4,1,24.99
133,54,27,1,17.99
134,54,42,2,24.99
135,55,34,2,19.99
136,55,49,2,44.99
137,56,56,3,15.99
138,56,64,1,21.99
139,56,28,3,89.99
140,57,33,3,13.99
141,58,47,1,14.99
142,59,34,1,19.99
143,59,10,3,149.99
144,59,26,2,159.99
145,60,33,2,13.99
146,60,14,2,99.99
147,61,15,2,29.99
148,62,44,2,34.99
149,63,29,2,64.99
150,64,40,1,49.99
151,64,51,2,32.99
152,64,53,2,22.99
153,64,61,2,139.99
154,65,35,2,12.99
155,65,32,2,14.99
156,65,2,3,39.99
157,66,39,1,39.99
158,66,57,3,39.99
159,66,34,1,19.99
160,66,61,1,139.99
161,67,31,3,9.99
162,67,7,2,27.99
163,67,67,2,12.99
164,67,26,2,159.99
165,68,33,3,13.99
166,68,41,3,17.99
167,68,2,1,39.99
168,68,14,1,99.99
169,69,43,2,44.99
170,69,52,1,24.99
171,69,45,3,39.99
172,69,32,1,14.99
173,70,29,3,64.99
174,71,52,3,24.99
175,71,21,3,84.99
176,71,55,3,16.99
177,71,34,1,19.99
178,72,25,3,16.99
179,72,39,3,39.99
180,72,16,1,24.99
181,72,16,2,24.99
182,73,67,2,12.99
183,73,8,3,249.99
184,73,19,1,69.99
185,74,36,1,18.99
186,74,38,1,18.99
187,75,34,2,19.99
188,75,50,3,39.99
189,76,61,1,139.99
190,76,36,3,18.99
191,76,60,3,179.99
192,77,49,2,44.99
193,77,46,1,27.99
194,77,10,1,149.99
195,78,64,3,21.99
196,78,27,2,17.99
197,78,60,1,179.99
198,78,68,2,54.99
199,79,5,3,89.99
200,79,62,3,9.99
201,79,16,1,24.99
202,80,43,1,44.99
203,80,24,2,149.99
204,81,10,2,149.99
205,81,42,1,24.99
206,81,4,3,24.99
207,82,36,2,18.99
208,82,24,2,149.99
209,83,42,3,24.99
210,83,54,1,79.99
211,83,26,2,159.99
212,84,7,2,27.99
213,84,56,3,15.99
214,85,43,2,44.99
215,85,2,2,39.99
216,85,69,3,14.99
217,85,49,1,44.99
218,86,15,3,29.99
219,87,50,2,39.99
220,88,27,3,17.99
221,88,33,1,13.99
222,89,69,1,14.99
223,89,5,1,89.99
224,89,21,2,84.99
225,90,48,3,17.99
226,90,8,1,249.99
227,90,66,2,34.99
228,91,15,3,29.99
229,91,55,1,16.99
230,92,53,2,22.99
231,92,68,3,54.99
232,92,57,1,39.99
233,93,10,2,149.99
234,94,43,1,44.99
235,94,41,3,17.99
236,94,44,1,34.99
237,94,49,1,44.99
238,95,21,1,84.99
239,96,8,1,249.99
240,97,55,3,16.99
241,98,52,1,24.99
242,99,9,3,299.99
243,99,69,2,14.99
244,99,58,1,12.99
245,100,33,2,13.99
246,100,60,2,179.99
247,100,17,1,36.99
248,100,44,3,34.99
249,101,1,2,129.99
250,102,12,3,22.99
251,102,7,3,27.99
252,102,16,1,24.99
253,103,63,1,17.99
254,103,46,2,27.99
255,104,25,3,16.99
256,104,23,1,22.99
257,105,7,3,27.99
258,106,8,3,249.99
259,106,29,3,64.99
260,106,53,2,22.99
261,106,62,1,9.99
262,107,63,2,17.99
263,107,2,2,39.99
264,108,68,3,54.99
265,108,55,3,16.99
266,108,4,1,24.99
267,109,41,1,17.99
268,109,37,2,22.99
269,110,14,3,99.99
270,110,58,1,12.99
271,110,4,3,24.99
272,110,37,3,22.99
273,111,59,2,9.99
274,112,54,1,79.99
275,112,56,2,15.99
276,112,26,3,159.99
277,113,26,2,159.99
278,113,53,1,22.99
279,114,41,3,17.99
280,114,40,1,49.99
281,115,51,3,32.99
282,115,39,3,39.99
283,115,66,3,34.99
284,115,63,3,17.99
285,116,39,2,39.99
286,117,64,1,21.99
287,118,1,3,129.99
288,118,66,3,34.99
289,118,11,2,34.99
290,119,7,1,27.99
291,119,31,3,9.99
292,119,41,2,17.99
293,119,17,2,36.99
294,120,49,2,44.99
295,120,61,2,139.99
296,120,22,3,89.99
297,120,68,2,54.99
298,121,49,3,44.99
299,121,27,3,17.99
300,121,5,3,89.99
301,122,67,2,12.99
302,123,13,3,139.99
303,123,15,3,29.99
304,124,62,3,9.99
305,124,38,1,18.99
306,124,21,3,84.99
307,125,44,2,34.99
308,125,20,1,21.99
309,125,46,3,27.99
310,126,1,3,129.99
311,126,50,1,39.99
312,126,31,1,9.99
313,126,61,2,139.99
314,127,34,2,19.99
315,127,26,1,159.99
316,128,48,2,17.99
317,128,2,1,39.99
318,129,33,1,13.99
319,130,11,1,34.99
320,131,17,3,36.99
321,131,59,2,9.99
322,132,60,3,179.99
323,132,4,1,24.99
324,132,4,1,24.99
325,132,44,3,34.99
326,133,7,1,27.99
327,133,36,1,18.99
328,133,64,2,21.99
329,133,68,3,54.99
330,134,66,1,34.99
331,135,60,1,179.99
332,135,20,3,21.99
333,136,32,1,14.99
334,136,59,1,9.99
335,136,67,2,12.99
336,137,59,1,9.99
337,137,59,2,9.99
338,137,29,3,64.99
339,138,65,3,9.99
340,138,6,1,79.99
341,138,68,3,54.99
342,139,48,3,17.99
343,139,50,1,39.99
344,139,34,2,19.99
345,139,59,3,9.99
346,140,63,3,17.99
347,141,67,2,12.99
348,141,53,1,22.99
349,142,49,3,44.99
350,143,42,2,24.99
351,144,15,3,29.99
352,144,53,3,22.99
353,144,36,1,18.99
354,144,1,1,129.99
355,145,17,2,36.99
356,145,34,2,19.99
357,145,11,1,34.99
358,146,56,3,15.99
359,146,7,3,27.99
360,146,38,2,18.99
361,147,18,2,26.99
362,147,17,2,36.99
363,147,23,2,22.99
364,148,2,3,39.99
365,148,26,3,159.99
366,149,4,1,24.99
367,149,15,1,29.99
368,150,21,2,84.99
369,150,14,1,99.99
370,150,63,1,17.99
371,150,31,2,9.99
372,151,13,1,139.99
373,151,34,2,19.99
374,151,35,2,12.99
375,152,43,1,44.99
376,152,45,3,39.99
377,153,24,3,149.99
378,153,60,2,179.99
379,153,25,2,16.99
380,153,62,3,9.99
381,154,37,3,22.99
382,154,7,1,27.99
383,154,63,3,17.99
384,155,34,3,19.99
385,155,64,2,21.99
386,156,44,3,34.99
387,156,64,1,21.99
388,157,50,1,39.99
389,157,18,1,26.99
390,157,19,2,69.99
391,157,62,2,9.99
392,158,14,2,99.99
393,158,27,3,17.99
394,158,41,3,17.99
395,158,48,2,17.99
396,159,36,2,18.99
397,159,65,1,9.99
398,160,23,1,22.99
399,160,41,2,17.99
400,160,21,2,84.99
401,161,7,2,27.99
402,161,38,1,18.99
403,162,27,1,17.99
404,162,39,2,39.99
405,162,17,1,36.99
406,162,27,3,17.99
407,163,11,2,34.99
408,164,64,2,21.99
409,164,32,1,14.99
410,165,41,1,17.99
411,165,23,2,22.99
412,166,40,1,49.99
413,166,1,2,129.99
414,166,4,2,24.99
415,166,52,2,24.99
416,167,59,3,9.99
417,167,11,2,34.99
418,167,17,2,36.99
419,167,13,1,139.99
420,168,3,3,49.99
421,169,50,1,39.99
422,169,2,3,39.99
423,169,60,2,179.99
424,170,15,3,29.99
425,170,51,2,32.99
426,171,48,1,17.99
427,171,13,3,139.99
428,171,22,1,89.99
429,171,21,3,84.99
430,172,69,3,14.99
431,172,32,2,14.99
432,172,44,2,34.99
433,173,69,3,14.99
434,173,56,3,15.99
435,173,31,3,9.99
436,174,19,3,69.99
437,174,50,3,39.99
438,174,18,2,26.99
439,174,31,1,9.99
440,175,45,2,39.99
441,175,13,2,139.99
442,175,48,2,17.99
443,175,21,1,84.99
444,176,39,2,39.99
445,176,26,2,159.99
446,176,6,2,79.99
447,176,17,3,36.99
448,177,12,2,22.99
449,177,41,3,17.99
450,177,43,1,44.99
451,177,25,2,16.99
452,178,7,2,27.99
453,178,60,2,179.99
454,179,22,2,89.99
455,180,69,1,14.99
456,180,44,1,34.99
457,180,64,1,21.99
458,180,56,3,15.99
459,181,47,3,14.99
460,182,19,2,69.99
461,182,69,3,14.99
462,182,19,3,69.99
463,183,60,2,179.99
464,183,32,2,14.99
465,183,65,1,9.99
466,184,40,2,49.99
467,184,20,2,21.99
468,184,19,2,69.99
469,184,42,2,24.99
470,185,68,1,54.99
471,185,23,2,22.99
472,185,22,1,89.99
473,186,52,2,24.99
474,187,3,2,49.99
475,187,36,3,18.99
476,187,26,3,159.99
477,188,64,2,21.99
478,188,66,3,34.99
479,188,53,2,22.99
480,188,67,3,12.99
481,189,3,1,49.99
482,189,64,1,21.99
483,190,67,3,12.99
484,190,52,3,24.99
485,190,34,2,19.99
486,190,32,2,14.99
487,191,24,3,149.99
488,192,18,3,26.99
489,192,3,3,49.99
490,192,32,2,14.99
491,193,17,3,36.99
492,194,68,1,54.99
493,194,23,2,22.99
494,195,64,3,21.99
495,195,17,3,36.99
496,195,10,2,149.99
497,195,37,2,22.99
498,196,65,3,9.99
499,197,6,1,79.99
