pago_id,pedido_id,fecha_pago,importe,metodo_pago
1,1,"2022-07-11 02:06:00",194.96,transferencia
2,2,"2021-07-02 13:12:00",127.96,transferencia
3,3,"2022-03-08 01:32:00",254.97,tarjeta_regalo
4,4,"2023-11-20 03:45:00",169.94,transferencia
5,5,"2022-08-31 15:30:00",485.95,transferencia
6,6,"2023-12-06 09:51:00",275.92,transferencia
7,7,"2023-07-04 00:46:00",175.96,transferencia
8,8,"2023-04-27 20:52:00",14.99,tarjeta_regalo
9,9,"2023-05-24 23:05:00",134.97,paypal
10,10,"2023-03-12 14:37:00",19.98,paypal
11,11,"2022-02-05 01:58:00",209.95,paypal
12,12,"2021-11-03 08:19:00",101.94,transferencia
13,13,"2023-05-12 02:05:00",166.94,paypal
14,14,"2023-09-19 06:22:00",62.97,transferencia
15,15,"2022-06-17 12:06:00",240.92,transferencia
16,16,"2023-01-25 09:46:00",1113.90,tarjeta_regalo
17,17,"2023-04-18 22:01:00",46.97,transferencia
18,18,"2023-10-21 18:48:00",127.93,paypal
19,19,"2023-03-16 03:09:00",740.92,tarjeta_regalo
20,20,"2021-09-14 01:33:00",270.94,tarjeta_regalo
21,21,"2023-11-25 14:54:00",639.91,tarjeta_regalo
22,22,"2023-11-24 08:49:00",574.93,tarjeta_regalo
23,23,"2021-09-10 17:09:00",33.98,transferencia
24,24,"2022-08-01 01:07:00",319.98,tarjeta_regalo
25,25,"2023-12-12 00:49:00",241.93,tarjeta_regalo
26,26,"2023-06-23 09:26:00",45.98,transferencia
27,27,"2022-09-02 15:35:00",361.91,tarjeta_credito
28,28,"2023-07-05 05:53:00",884.92,tarjeta_credito
29,29,"2023-07-22 00:58:00",199.95,tarjeta_credito
30,30,"2021-11-14 06:28:00",260.96,transferencia
31,31,"2023-04-06 03:04:00",110.97,tarjeta_credito
32,32,"2023-08-03 21:59:00",454.95,tarjeta_regalo
33,33,"2022-04-13 09:13:00",80.97,tarjeta_credito
34,34,"2023-09-17 22:28:00",124.94,tarjeta_regalo
35,35,"2023-02-14 00:17:00",79.98,tarjeta_regalo
36,36,"2023-03-26 23:15:00",49.98,paypal
37,37,"2023-04-24 13:42:00",128.94,tarjeta_regalo
38,38,"2023-07-31 16:02:00",134.97,paypal
39,39,"2023-09-09 10:39:00",443.92,tarjeta_regalo
40,40,"2022-08-19 11:44:00",177.92,transferencia
41,42,"2023-06-03 22:01:00",76.95,tarjeta_regalo
42,43,"2023-03-06 15:58:00",539.97,tarjeta_credito
43,44,"2022-09-23 22:49:00",79.98,tarjeta_credito
44,45,"2023-12-17 04:03:00",169.92,transferencia
45,46,"2023-04-30 16:45:00",128.96,tarjeta_regalo
46,47,"2023-02-27 14:08:00",96.96,tarjeta_regalo
47,48,"2023-12-19 23:34:00",309.95,tarjeta_credito
48,50,"2022-12-05 17:40:00",207.96,transferencia
49,51,"2023-02-12 09:15:00",215.96,transferencia
50,52,"2022-05-16 18:47:00",110.97,paypal
51,53,"2022-02-14 09:51:00",121.95,transferencia
52,54,"2023-01-11 18:25:00",67.97,tarjeta_regalo
53,55,"2023-05-10 12:32:00",129.96,tarjeta_regalo
54,56,"2023-11-26 04:10:00",339.93,paypal
55,57,"2023-12-26 07:18:00",41.97,tarjeta_regalo
56,58,"2022-04-28 12:34:00",14.99,paypal
57,59,"2022-10-10 23:40:00",789.94,transferencia
58,60,"2022-11-02 04:43:00",227.96,paypal
59,61,"2023-10-26 04:12:00",59.98,paypal
60,62,"2023-02-07 20:41:00",69.98,paypal
61,63,"2023-12-15 01:55:00",129.98,tarjeta_regalo
62,64,"2022-10-13 05:44:00",441.93,tarjeta_regalo
63,65,"2023-11-03 02:00:00",175.93,paypal
64,66,"2023-06-29 01:07:00",319.94,tarjeta_credito
65,67,"2022-11-06 05:37:00",431.91,paypal
66,68,"2023-05-18 20:54:00",235.92,transferencia
67,69,"2022-08-30 06:06:00",249.93,tarjeta_regalo
68,70,"2023-08-24 18:01:00",194.97,transferencia
69,71,"2023-06-24 14:13:00",400.90,tarjeta_credito
70,72,"2023-02-20 06:00:00",245.91,paypal
71,73,"2023-07-27 21:48:00",845.94,tarjeta_credito
72,74,"2021-06-26 01:54:00",37.98,tarjeta_regalo
73,75,"2022-03-17 01:47:00",159.95,paypal
74,76,"2022-05-12 10:05:00",736.93,tarjeta_regalo
75,77,"2023-11-01 18:40:00",267.96,tarjeta_regalo
76,78,"2023-08-18 04:04:00",391.92,tarjeta_regalo
77,79,"2023-03-16 11:28:00",324.93,paypal
78,80,"2022-05-06 13:46:00",344.97,tarjeta_regalo
79,81,"2022-06-30 22:17:00",399.94,transferencia
80,82,"2021-11-22 00:55:00",337.96,tarjeta_regalo
81,83,"2023-10-20 04:57:00",474.94,tarjeta_regalo
82,84,"2022-12-17 23:53:00",103.95,paypal
83,85,"2022-06-06 03:08:00",259.92,paypal
84,86,"2022-12-16 08:52:00",89.97,tarjeta_regalo
85,87,"2021-06-28 23:32:00",79.98,tarjeta_credito
86,88,"2023-01-02 03:39:00",67.96,paypal
87,89,"2023-10-24 01:57:00",274.96,tarjeta_regalo
88,90,"2023-12-27 23:51:00",373.94,tarjeta_regalo
89,91,"2022-05-14 08:03:00",106.96,tarjeta_regalo
90,92,"2022-12-11 20:57:00",250.94,tarjeta_regalo
91,93,"2023-04-11 21:12:00",299.98,paypal
92,94,"2023-08-03 15:28:00",178.94,transferencia
93,95,"2022-10-25 22:50:00",84.99,transferencia
94,96,"2022-11-17 05:41:00",249.99,tarjeta_credito
95,97,"2023-10-21 12:24:00",50.97,tarjeta_regalo
96,98,"2023-07-19 17:48:00",24.99,tarjeta_credito
97,99,"2022-08-07 10:32:00",942.94,tarjeta_regalo
98,100,"2023-05-22 05:36:00",529.92,tarjeta_credito
99,101,"2023-08-17 21:40:00",259.98,tarjeta_regalo
100,102,"2023-07-11 20:23:00",177.93,paypal
101,103,"2022-06-21 18:52:00",73.97,paypal
102,104,"2023-10-13 08:05:00",73.96,tarjeta_credito
103,105,"2023-11-13 09:01:00",83.97,tarjeta_credito
104,106,"2023-11-29 09:42:00",1000.91,tarjeta_credito
105,107,"2021-03-24 22:16:00",115.96,paypal
106,108,"2023-06-12 01:18:00",240.93,tarjeta_regalo
107,109,"2023-09-24 13:05:00",63.97,tarjeta_regalo
108,110,"2023-06-06 05:36:00",456.90,transferencia
109,111,"2022-10-02 15:44:00",19.98,transferencia
110,112,"2023-08-08 20:03:00",591.94,transferencia
111,113,"2022-08-02 15:31:00",342.97,tarjeta_regalo
112,114,"2022-11-21 01:29:00",103.96,transferencia
113,115,"2023-05-30 16:55:00",377.88,tarjeta_regalo
114,116,"2023-08-18 02:26:00",79.98,tarjeta_credito
115,117,"2022-05-07 07:56:00",21.99,transferencia
116,118,"2022-07-04 19:36:00",564.92,paypal
117,119,"2023-06-02 19:09:00",167.92,paypal
118,121,"2023-11-30 14:27:00",458.91,transferencia
119,122,"2023-09-15 05:11:00",25.98,tarjeta_credito
120,123,"2022-09-14 02:04:00",509.94,paypal
121,124,"2023-02-14 02:26:00",303.93,tarjeta_regalo
122,125,"2023-09-26 00:11:00",175.94,tarjeta_regalo
123,126,"2023-02-08 14:28:00",719.93,transferencia
124,127,"2023-11-24 01:26:00",199.97,transferencia
125,128,"2023-10-02 15:54:00",75.97,paypal
126,129,"2021-09-05 13:56:00",13.99,transferencia
127,130,"2022-12-24 00:06:00",34.99,paypal
128,131,"2023-04-29 18:30:00",130.95,tarjeta_credito
